date,seed_keyword,related_keyword,position
2026-07-13,감기,감기 빨리 낫는법,1
2026-07-13,감기,감기 병원,2
2026-07-13,감기,감기 영화,3
2026-07-13,감기,감기에 좋은 음식,4
2026-07-13,감기,감기,5
2026-07-13,감기,감기 유행,6
2026-07-13,감기,목감기,7
2026-07-13,감기,감기 증상,8
2026-07-13,감기,감기약,9
2026-07-13,감기,여름감기,10
2026-07-13,두통,두통 원인,1
2026-07-13,두통,두통 없애는법,2
2026-07-13,두통,두통 부위,3
2026-07-13,두통,두통 속울렁거림,4
2026-07-13,두통,두통 병원,5
2026-07-13,두통,두통 심할때,6
2026-07-13,두통,두통약,7
2026-07-13,두통,두통,8
2026-07-13,두통,숙취 두통,9
2026-07-13,두통,술먹고 두통,10
2026-07-13,발열,발열도시락,1
2026-07-13,발열,발열,2
2026-07-13,발열,발열팩,3
2026-07-13,발열,발열 전투식량,4
2026-07-13,발열,아이폰 발열,5
2026-07-13,발열,폰 발열,6
2026-07-13,발열,아이폰17 발열,7
2026-07-13,발열,핸드폰 발열,8
2026-07-13,발열,s25 발열,9
2026-07-13,발열,s26 발열,10
2026-07-13,기침,기침 멈추는법,1
2026-07-13,기침,마른기침 원인,2
2026-07-13,기침,기침 계속,3
2026-07-13,기침,기침에 좋은 차,4
2026-07-13,기침,기침 가슴통증,5
2026-07-13,기침,기침 가래,6
2026-07-13,기침,기침약,7
2026-07-13,기침,기침,8
2026-07-13,기침,기침 병원,9
2026-07-13,기침,마른기침,10
2026-07-13,콧물,콧물흡입기,1
2026-07-13,콧물,콧물 멈추는법,2
2026-07-13,콧물,콧물,3
2026-07-13,콧물,노란콧물,4
2026-07-13,콧물,콧물 색,5
2026-07-13,콧물,콧물 냉,6
2026-07-13,콧물,콧물약,7
2026-07-13,콧물,누런콧물,8
2026-07-13,콧물,아기 콧물,9
2026-07-13,콧물,아기 콧물흡입기,10
2026-07-13,복통,복통 원인,1
2026-07-13,복통,복통,2
2026-07-13,복통,복통 영어로,3
2026-07-13,복통,복통 위치,4
2026-07-13,복통,복통약,5
2026-07-13,복통,복통 설사,6
2026-07-13,복통,복통 병원,7
2026-07-13,복통,장염 복통,8
2026-07-13,복통,변비 복통,9
2026-07-13,복통,스트레스성 복통,10
2026-07-13,소화불량,소화불량,1
2026-07-13,소화불량,소화불량 복부팽만,2
2026-07-13,소화불량,소화불량 증상,3
2026-07-13,소화불량,소화불량 해결,4
2026-07-13,소화불량,소화불량 원인,5
2026-07-13,소화불량,소화불량 약,6
2026-07-13,소화불량,소화불량 두통,7
2026-07-13,소화불량,기능성 소화불량,8
2026-07-13,소화불량,생리 소화불량,9
2026-07-13,소화불량,생리전 소화불량,10
2026-07-13,불면증,불면증,1
2026-07-13,불면증,불면증극복,2
2026-07-13,불면증,불면증극복하는법,3
2026-07-13,불면증,불면증치료,4
2026-07-13,불면증,불면증치료법,5
2026-07-13,불면증,휘성불면증,6
2026-07-13,불면증,우울증과불면증,7
2026-07-13,불면증,수험생불면증,8
2026-07-13,피로,피로회복제,1
2026-07-13,피로,피로회복 영양제,2
2026-07-13,피로,만성피로 영양제,3
2026-07-13,피로,만성피로,4
2026-07-13,피로,피로골절,5
2026-07-13,피로,약국 피로회복제,6
2026-07-13,피로,피뢰침,7
2026-07-13,피로,피로연,8
2026-07-13,피로,피뢰기,9
2026-07-13,피로,피로,10
2026-07-13,어지러움,어지러움 원인,1
2026-07-13,어지러움,머리 어지러움 증상,2
2026-07-13,어지러움,갑자기 어지러움,3
2026-07-13,어지러움,어지러움 증상,4
2026-07-13,어지러움,어지러움 메스꺼움,5
2026-07-13,어지러움,어지러움 병원,6
2026-07-13,어지러움,어지러움 약,7
2026-07-13,어지러움,어지러움,8
2026-07-13,어지러움,어지러움증,9
2026-07-13,어지러움,식은땀 어지러움,10
2026-07-13,관절통,턱 관절통,1
2026-07-13,관절통,관절통,2
2026-07-13,관절통,손가락 관절 통증,3
2026-07-13,관절통,턱관절통 증상,4
2026-07-13,관절통,관절통증,5
2026-07-13,관절통,천장관절 통증,6
2026-07-13,관절통,무릎관절통증,7
2026-07-13,관절통,어깨 관절 통증,8
2026-07-13,관절통,턱관절통 원인,9
2026-07-13,관절통,엄지 관절 통증,10
2026-07-13,피부발진,피부발진,1
2026-07-13,피부발진,팔 피부 발진,2
2026-07-13,피부발진,얼굴 피부 발진,3
2026-07-13,피부발진,다리 피부 발진,4
2026-07-13,피부발진,피부발진 가려움,5
2026-07-13,피부발진,아기 피부 발진,6
2026-07-13,피부발진,목 피부 발진,7
2026-07-13,피부발진,마운자로 피부발진,8
2026-07-13,피부발진,피부 발진 원인,9
2026-07-13,피부발진,피부 발진 종류,10
2026-07-13,눈충혈,눈 충혈 원인,1
2026-07-13,눈충혈,눈 충혈,2
2026-07-13,눈충혈,눈 충혈 지속,3
2026-07-13,눈충혈,눈 충혈 안약,4
2026-07-13,눈충혈,한쪽눈 충혈,5
2026-07-13,눈충혈,강아지 눈 충혈,6
2026-07-13,눈충혈,눈 충혈 눈꼽,7
2026-07-13,눈충혈,고양이 눈 충혈,8
2026-07-13,눈충혈,아기 눈 충혈,9
2026-07-13,눈충혈,눈 충혈 통증,10
2026-07-13,목통증,침 삼킬때 목 통증,1
2026-07-13,목통증,목 통증,2
2026-07-13,목통증,왼쪽 목 통증,3
2026-07-13,목통증,오른쪽 목 통증,4
2026-07-13,목통증,옆목 통증,5
2026-07-13,목통증,어깨 목 통증,6
2026-07-13,목통증,갑상선 목통증,7
2026-07-13,목통증,일자목 통증,8
2026-07-13,목통증,갑자기 목 통증,9
2026-07-13,목통증,코로나 목통증,10
2026-07-13,허리통증,허리통증,1
2026-07-13,허리통증,허리통증 병원,2
2026-07-13,허리통증,허리통증 스트레칭,3
2026-07-13,허리통증,오른쪽 허리 통증,4
2026-07-13,허리통증,왼쪽 허리 통증,5
2026-07-13,허리통증,허리통증 다리저림,6
2026-07-13,허리통증,허리통증 주사,7
2026-07-13,허리통증,허리통증 운동,8
2026-07-13,허리통증,허리통증 약,9
2026-07-13,허리통증,갑자기 허리통증,10
2026-07-13,구토,메시 구토,1
2026-07-13,구토,구토,2
2026-07-13,구토,구토 원인,3
2026-07-13,구토,구토 어지러움,4
2026-07-13,구토,구토증상,5
2026-07-13,구토,구토 약,6
2026-07-13,구토,구토 뜻,7
2026-07-13,구토,강아지 구토,8
2026-07-13,구토,생리통 구토,9
2026-07-13,구토,구토 젖닌,10
2026-07-13,설사,설사 원인,1
2026-07-13,설사,설사 멈추는법,2
2026-07-13,설사,물설사 원인,3
2026-07-13,설사,설사에 좋은 음식,4
2026-07-13,설사,설사,5
2026-07-13,설사,설사 배아픔,6
2026-07-13,설사,설사약,7
2026-07-13,설사,물설사,8
2026-07-13,설사,설상가상,9
2026-07-13,설사,설사 이유,10
2026-07-13,변비,변비 직빵,1
2026-07-13,변비,변비 해결,2
2026-07-13,변비,변비에 좋은 음식,3
2026-07-13,변비,변비약,4
2026-07-13,변비,변비 원인,5
2026-07-13,변비,변비 증상,6
2026-07-13,변비,변비 마사지,7
2026-07-13,변비,변비 유산균,8
2026-07-13,변비,변비,9
2026-07-13,변비,변비 자세,10
2026-07-13,가슴통증,왼쪽 가슴 통증,1
2026-07-13,가슴통증,가슴통증,2
2026-07-13,가슴통증,오른쪽 가슴 통증,3
2026-07-13,가슴통증,숨쉴때 가슴통증,4
2026-07-13,가슴통증,생리전 가슴통증,5
2026-07-13,가슴통증,가슴통증 원인,6
2026-07-13,가슴통증,기침 가슴통증,7
2026-07-13,가슴통증,생리 가슴통증,8
2026-07-13,가슴통증,여자 왼쪽 가슴 통증,9
2026-07-13,가슴통증,가임기 가슴통증,10
2026-07-13,숨가쁨,숨가쁨,1
2026-07-13,숨가쁨,강아지 숨가쁨,2
2026-07-13,숨가쁨,신생아 숨가쁨,3
2026-07-13,숨가쁨,숨가쁨 증상 원인,4
2026-07-13,숨가쁨,숨 가쁨 병원,5
2026-07-13,숨가쁨,숨가쁨 뜻,6
2026-07-13,숨가쁨,숨가쁨 어지러움,7
2026-07-13,숨가쁨,숨가쁨 영어로,8
2026-07-13,부종,부종 뜻,1
2026-07-13,부종,다리 부종,2
2026-07-13,부종,부종 빼기,3
2026-07-13,부종,부종 원인,4
2026-07-13,부종,부종,5
2026-07-13,부종,결막부종,6
2026-07-13,부종,뇌부종,7
2026-07-13,부종,림프부종,8
2026-07-13,부종,발 부종,9
2026-07-13,부종,하체부종,10
2026-07-13,탈모,탈모,1
2026-07-13,탈모,M자탈모,2
2026-07-13,탈모,탈모예방,3
2026-07-13,탈모,탈모증,4
2026-07-13,탈모,원형탈모,5
2026-07-13,탈모,탈모치료,6
2026-07-13,탈모,정수리탈모,7
2026-07-13,탈모,탈모약,8
2026-07-13,손발저림,손발저림증상,1
2026-07-13,손발저림,손발 저림 증상 원인,2
2026-07-13,손발저림,손발저림,3
2026-07-13,손발저림,당뇨 손발저림,4
2026-07-13,손발저림,손발저림약,5
2026-07-13,손발저림,마운자로 손발저림,6
2026-07-13,손발저림,손발저림 영양제,7
2026-07-13,손발저림,항암 손발저림,8
2026-07-13,손발저림,갱년기 손발저림,9
2026-07-13,손발저림,손발저림 병원,10
2026-07-13,식욕부진,식욕부진,1
2026-07-13,식욕부진,식욕부진 뜻,2
2026-07-13,식욕부진,고양이 식욕부진,3
2026-07-13,식욕부진,우울증 식욕부진,4
2026-07-13,식욕부진,강아지 식욕부진,5
2026-07-13,식욕부진,신경성 식욕부진증,6
2026-07-13,식욕부진,식욕부진 약,7
2026-07-13,식욕부진,스트레스 식욕부진,8
2026-07-13,식욕부진,식욕부진 의학용어,9
2026-07-13,식욕부진,식욕부진원인,10
2026-07-13,체중감소,체중감소 원인,1
2026-07-13,체중감소,체중감소,2
2026-07-13,체중감소,당뇨 체중감소,3
2026-07-13,체중감소,암 체중감소,4
2026-07-13,체중감소,갑자기 체중감소,5
2026-07-13,체중감소,대장암 체중감소,6
2026-07-13,체중감소,위염 체중감소,7
2026-07-13,체중감소,갑상선 체중감소,8
2026-07-13,체중감소,고양이 체중감소,9
2026-07-13,체중감소,스트레스 체중감소,10
2026-07-13,당뇨,당뇨 초기증상,1
2026-07-13,당뇨,당뇨 정상수치,2
2026-07-13,당뇨,당뇨에좋은음식,3
2026-07-13,당뇨,당뇨 증상,4
2026-07-13,당뇨,당뇨 관리,5
2026-07-13,당뇨,당뇨 식단,6
2026-07-13,당뇨,당뇨 원인,7
2026-07-13,당뇨,당뇨,8
2026-07-13,당뇨,당뇨병,9
2026-07-13,당뇨,당뇨 간식,10
2026-07-13,고혈압,고혈압 증상,1
2026-07-13,고혈압,고혈압 낮추는 방법,2
2026-07-13,고혈압,고혈압 수치,3
2026-07-13,고혈압,고혈압에 좋은 음식,4
2026-07-13,고혈압,고혈압 원인,5
2026-07-13,고혈압,고혈압 기준,6
2026-07-13,고혈압,고혈압,7
2026-07-13,고혈압,고혈압 식단,8
2026-07-13,고혈압,고혈압약,9
2026-07-13,고혈압,고혈압 영양제,10
2026-07-13,비만,비만도 계산기,1
2026-07-13,비만,비만치료제,2
2026-07-13,비만,비만 계산기,3
2026-07-13,비만,초고도비만갤,4
2026-07-13,비만,비만도,5
2026-07-13,비만,비만클리닉,6
2026-07-13,비만,경도비만,7
2026-07-13,비만,비만,8
2026-07-13,비만,하체비만,9
2026-07-13,비만,마른비만,10
2026-07-13,암,암웨이,1
2026-07-13,암,암웨이쇼핑몰,2
2026-07-13,암,암 초기증상,3
